# Longitude   Latitude
  128.2409   -31.9485
  127.1029   -32.2823
  126.1487   -32.2160
       nan        nan
   81.7880     7.5231
   81.6373     6.4818
   81.2180     6.1971
   80.3484     5.9684
   79.8725     6.7635
   79.6952     8.2008
   80.1478     9.8241
   80.8388     9.2684
   81.3043     8.5642
   81.7880     7.5231
       nan        nan
  129.3710    -2.8022
  130.4713    -3.0938
  130.8348    -3.8585
  129.9905    -3.4463
  129.1552    -3.3626
  128.5907    -3.4287
  127.8989    -3.3934
  128.1359    -2.8437
  129.3710    -2.8022
       nan        nan
  126.8749    -3.7909
  126.1838    -3.6074
  125.9890    -3.1772
  127.0007    -3.1293
  127.2492    -3.4591
  126.8749    -3.7909
       nan        nan
  127.9324     2.1746
  128.0042     1.6285
  128.5946     1.5408
  128.6882     1.1324
  128.6360     0.2585
  128.1202     0.3564
  127.9680    -0.2521
  128.3800    -0.7800
  128.1000    -0.9000
  127.6965    -0.2666
  127.3995     1.0117
  127.6005     1.8107
  127.9324     2.1746
       nan        nan
  122.9276     0.8752
  124.0775     0.9171
  125.0660     1.6433
  125.2405     1.4198
  124.4370     0.4279
  123.6855     0.2356
  122.7231     0.4311
  121.0567     0.3812
  120.1831     0.2372
  120.0409    -0.5197
  120.9359    -1.4089
  121.4758    -0.9560
  123.3406    -0.6157
  123.2584    -1.0762
  122.8227    -0.9310
  122.3885    -1.5169
  121.5083    -1.9045
  122.4546    -3.1861
